Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2022-08-14,27727965,43736314.60002752,14884931,25662946.893481348,6331968,10083830.917008197,853236,1556906.917778058,750307,1364170.5703388713,123939,139894.31171569004,4754915,4861550.960697463,28669,67014.02900788399,63.0,58.0,63.0,55.0,55.0,89.0,98.0,43.0,29042244.875726636,16051648.647342911,6673772.925878627,858604.9930268212,747368.2586840733,121951.92375337833,4557197.488927523,31700.638113300985
2022-08-21,27249180,43747335.219676904,14590764,25687607.994911,6221710,10067606.248554077,861549,1561108.5102462037,724569,1366932.542883182,120370,139653.67635539838,4702003,4857563.707126029,28215,66862.53960101787,62.0,57.0,62.0,55.0,53.0,86.0,97.0,42.0,29077507.227919586,16080039.874250973,6671157.249124665,862295.3499091212,750676.6246210744,122452.07125855447,4559146.749680474,31739.30907472091
2022-08-28,28288614,45622839.603104666,15112247,26968103.895480033,6521104,10642106.15356318,945192,1587081.5947915767,720155,1386959.19134437,122422,143394.9422693312,4837804,4821043.0218648035,29690,74150.80379137337,62.0,56.0,61.0,60.0,52.0,85.0,100.0,40.0,29112769.58011253,16108431.101159034,6668541.5723707015,865985.706791421,753984.9905580756,122952.21876373062,4561096.010433426,31777.980036140834
2022-09-04,28049144,43644038.28527145,15326109,25672285.840344142,6336571,10406803.121106997,876860,1410682.7947612994,758453,1259158.0707362453,114206,136123.90918411114,4608637,4687680.8071479285,28308,71303.74199072341,64.0,60.0,61.0,62.0,60.0,84.0,98.0,40.0,29148031.93230548,16136822.328067098,6665925.895616738,869676.063673721,757293.3564950768,123452.36626890677,4563045.271186378,31816.65099756076
2022-09-11,32532948,48445759.406890176,17992571,28740076.3973102,7743539,11626811.37806443,972140,1642272.4489833787,856654,1442033.9783370525,132804,148219.3726947938,4798563,4760665.528470015,36677,85680.30303030302,67.0,63.0,67.0,59.0,59.0,90.0,101.0,43.0,29183294.284498427,16165213.55497516,6663310.218862775,873366.4205560209,760601.7224320779,123952.51377408291,4564994.531939329,31855.32195898068
2022-09-18,32549226,48587914.89707561,18375206,28894264.4501944,7435977,11617735.961865801,977649,1645849.9834123685,885342,1441630.2111660196,129992,148411.92940830206,4707046,4754394.690221264,38014,85627.67080745343,67.0,64.0,64.0,59.0,61.0,88.0,99.0,44.0,29218556.636691377,16193604.781883221,6660694.542108812,877056.7774383209,763910.088369079,124452.66127925906,4566943.79269228,31893.992920400604
2022-09-25,30560340,48459290.90454717,16940311,28799077.285986114,7019625,11582210.90555278,946872,1638533.901876428,847271,1445920.0265390635,126770,148403.5262068821,4644635,4759294.909073375,34856,85850.34931252323,63.0,59.0,61.0,58.0,59.0,85.0,98.0,41.0,29253818.988884322,16221996.008791283,6658078.865354849,880747.1343206209,767218.4543060802,124952.80878443521,4568893.053445232,31932.66388182053
2022-10-02,30770452,47858521.92370072,17285072,28706234.381491486,7022426,11252000.487378966,939290,1570839.2174205105,828100,1458146.4843975767,130229,148664.43099394228,4530902,4632999.9040052965,34433,89637.0180129468,64.0,60.0,62.0,60.0,57.0,88.0,98.0,38.0,29289081.34107727,16250387.235699346,6655463.188600886,884437.4912029208,770526.8202430813,125452.95628961135,4570842.314198184,31971.334843240453
2022-10-09,30899830,47999249.92894177,17243827,28851432.08387155,7042498,11249961.564364877,953015,1572724.714219624,874225,1452401.754770653,125733,148606.7297457126,4626181,4635655.093949625,34351,88467.9880197322,64.0,60.0,63.0,61.0,60.0,85.0,100.0,39.0,29324343.693270218,16278778.462607408,6652847.511846922,888127.8480852208,773835.1861800825,125953.1037947875,4572791.574951136,32010.005804660377
2022-10-16,32351535,47980997.00829148,18203763,28798037.837548874,7471610,11288351.772475159,972485,1573724.7254312753,894231,1451813.0829650206,132216,148549.58546628855,4639795,4630957.401656736,37435,89562.60274812907,67.0,63.0,66.0,62.0,62.0,89.0,100.0,42.0,29359606.045463167,16307169.68951547,6650231.83509296,891818.2049675207,777143.5521170837,126453.25129996365,4574740.835704087,32048.6767660803
2022-10-23,32551542,47899239.74810078,18382689,28728884.060268104,7483875,11269398.269906126,961326,1570902.7483399592,864674,1450555.0663315179,133886,148759.1206121487,4687826,4641570.971313412,37266,89169.51132951133,68.0,64.0,66.0,61.0,60.0,90.0,101.0,42.0,29394868.397656113,16335560.916423533,6647616.158338997,895508.5618498207,780451.9180540848,126953.39880513979,4576690.096457038,32087.347727500222
