Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2023-01-22,7363556,8801818.765953222,3885505,4807790.855730615,1509603,2109345.3834115807,171718,180711.0823582358,155267,221074.03381642513,30948,28041.27725856698,1606488,1448030.8928571427,4027,6825.24052065648,84.0,81.0,72.0,95.0,70.0,110.0,111.0,59.0,7490394.951907931,3930158.053211319,1442503.802537234,184514.57287962362,171095.32281455962,31723.197484893026,1726750.2048073632,3649.7981729386292
2023-01-29,6410192,9310680.090706645,3367810,5052903.522374833,1249441,2245159.9555414417,138812,171782.310962648,126671,221458.71044069802,28852,33128.92890242288,1495529,1579108.6995216378,3077,7137.9629629629635,69.0,67.0,56.0,81.0,57.0,87.0,95.0,43.0,7501719.19288721,3937738.071112095,1443035.356100478,185367.63965587184,171776.38294795406,31879.93736730361,1728253.2575376818,3668.548165826366
2023-02-05,7569380,9331737.705700412,4079724,5063642.268518519,1525278,2243055.882352941,161891,171937.38199401335,151664,223622.10685701924,32943,33121.043056397815,1615038,1589320.3865578864,2842,7038.636363636364,81.0,81.0,68.0,94.0,68.0,99.0,102.0,40.0,7513043.43386649,3945318.089012871,1443566.909663722,186220.70643212003,172457.4430813485,32036.677249714194,1729756.3102680007,3687.298158714103
2023-02-12,7572228,9331776.05743599,4095242,5072571.938386457,1462485,2235058.974358974,166926,171126.34125815274,168277,222827.3789075919,31777,33101.041666666664,1645296,1590049.794622853,2225,7040.588235294117,81.0,81.0,65.0,98.0,76.0,96.0,103.0,32.0,7524367.674845769,3952898.106913647,1444098.4632269656,187073.77320836822,173138.50321474296,32193.417132124778,1731259.3629983196,3706.04815160184
2023-02-19,7128818,9347537.863284618,3668826,5074563.208983632,1476988,2251114.0096618356,160629,172048.93592677347,149444,223331.12467306014,31352,33180.05599104143,1639088,1586262.5327102803,2491,7037.995337995338,76.0,72.0,66.0,93.0,67.0,94.0,103.0,35.0,7535691.915825048,3960478.124814423,1444630.0167902093,187926.83998461644,173819.5633481374,32350.15701453536,1732762.4157286382,3724.7981444895768
2023-02-26,7575166,9836918.814916458,3945338,5362324.858240351,1582749,2328441.709401709,177799,194648.38709677418,157270,230750.3142019271,33219,34603.125,1676127,1678038.4846361727,2664,8111.936339522546,77.0,74.0,68.0,91.0,68.0,96.0,100.0,33.0,7547016.156804329,3968058.142715199,1445161.5703534533,188779.90676086463,174500.62348153186,32506.896896945942,1734265.468458957,3743.5481373773137
2023-03-05,7536624,9823516.195542686,4004115,5358877.690802349,1508029,2320049.7428705003,154949,194519.95641344957,159070,230281.43589743588,32137,34731.657703998135,1674981,1676767.1404263838,3343,8288.57142857143,77.0,75.0,65.0,80.0,69.0,93.0,100.0,40.0,7558340.397783608,3975638.160615975,1445693.123916697,189632.97353711282,175181.6836149263,32663.636779356526,1735768.521189276,3762.2981302650505
2023-03-12,8095461,9813123.254377337,4312349,5343099.938996492,1583305,2323272.9180186028,184053,193740.0,174724,230439.41125541128,33299,34708.73248615184,1804645,1679636.4202873465,3086,8225.833333333334,82.0,81.0,68.0,95.0,76.0,96.0,107.0,38.0,7569664.638762888,3983218.178516751,1446224.677479941,190486.04031336104,175862.74374832073,32820.376661767106,1737271.5739195948,3781.0481231527874
2023-03-19,7677370,9828434.788750034,4093538,5358839.831932773,1508938,2321901.4162990483,172155,193865.1857429719,164521,229621.87676653476,32434,34489.94565217391,1702371,1681504.4444444445,3413,8212.087912087913,78.0,76.0,65.0,89.0,72.0,94.0,101.0,42.0,7580988.879742168,3990798.1964175273,1446756.2310431846,191339.10708960926,176543.80388171517,32977.11654417769,1738774.6266499134,3799.7981160405243
2023-03-26,7866248,10217558.049135603,4233198,5608654.861111111,1559093,2332512.698412698,158199,205720.6827309237,167123,251947.72176975565,34088,35352.738990332975,1711708,1775005.1794541157,2839,8364.166666666666,77.0,75.0,67.0,77.0,66.0,96.0,96.0,34.0,7592313.120721447,3998378.2143183034,1447287.7846064286,192192.17386585745,177224.86401510963,33133.856426588274,1740277.6793802322,3818.548108928261
