Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan
2022-06-05,38062457,57906894.84211405,20556550,33975247.479943834,8614593,13204160.126027908,1099947,1890381.2690831076,960696,1749487.3691334357,152896,181879.53726339142,6641162,6815661.37223969,36613,90077.68842268843
2022-06-12,38679799,57907770.62513365,20759705,33912174.48499089,8784699,13243512.628469821,1132118,1892387.7752403372,980064,1748838.667577594,156925,181929.77938380803,6827979,6838772.078344423,38309,90155.21112677908
2022-06-19,37441375,53206223.44607021,20160402,30786444.097827405,8146608,12190289.8903348,1121675,1651700.2799135116,1007036,1556364.8232334612,146061,171036.97829358585,6828041,6772462.793616406,31552,77924.58285104185
2022-06-26,35623767,56550497.97736505,18911185,32878726.5738176,7986105,13106147.102882147,1077634,1872338.3265749277,918492,1724324.8126733298,148236,177629.80394466192,6546511,6704407.087474596,35604,86924.2699977828
2022-07-03,32965332,50354211.50134719,17237746,28622162.91907587,7443264,11848239.51739233,941496,1596361.8197619698,822854,1500819.9666367031,137068,162484.9862108542,6351706,6556844.241726984,31198,67298.05054247474
2022-07-10,36273230,54774866.884180084,19247177,31575359.593653187,8236938,12838164.38794964,1056255,1818650.8678119848,965573,1674828.6126676896,152335,174352.68009720583,6583462,6614689.325573868,31490,78821.41642650469
2022-07-17,35486214,54711330.00610031,18756710,31520271.44717861,8047080,12821324.98831487,1053506,1816621.0888440113,893053,1675403.2014135316,148681,174349.34038829387,6557355,6627993.640434229,29829,75366.29952677152
2022-07-24,35874340,54650197.928134836,18943796,31491710.90493203,8130792,12808537.636984775,1042372,1806761.1856206611,944964,1674297.4114597817,150328,173985.47113572282,6631238,6616735.436981339,30850,78169.88102052426
2022-07-31,35045231,53991069.01369625,18346523,31019088.94861162,8074911,12566348.04861277,1008493,1793903.373547088,882855,1620496.9649868794,152952,174121.84938725404,6550853,6742894.919993014,28644,74214.90855762595
2022-08-07,35542327,53932223.91797809,18678127,30956634.744514912,8092338,12567344.460247982,1055382,1802885.2530756819,883078,1621133.7162586316,154902,174351.30734305238,6646717,6734899.657005505,31783,74974.7795323246
2022-08-14,35218928,53957434.990606055,18542975,30998974.47233898,7899648,12550501.27911137,1034457,1795536.5474076876,929691,1620229.628883175,154459,174505.61572803571,6626058,6742319.68797019,31640,75367.75916661415
